"UNITID","OPEID","INSTNM","SCH_DEG","STABBR","CONTROL","TUITFTE","INEXPFTE","PRGMOFR","UGDS","COSTT4_A","GRAD_DEBT_MDN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","PELL_DEBT_MDN","MALE_DEBT_MDN","FEMALE_DEBT_MDN","FIRSTGEN_DEBT_MDN","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT4_048_PRIV","CNTOVER150_1YR","CNTOVER150_3YR","UGDS_WOMEN","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_NHPI","UGDS_2MOR","IRPS_MEN","IRPS_WOMEN","IRPS_WHITE","IRPS_BLACK","IRPS_HISP","IRPS_ASIAN","IRPS_NHPI","IRPS_2MOR","PCTPELL_DCS","FTFTPCTPELL","C100_4","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_NHPI","C150_4_2MOR","C150_4_PELL","COMP_ORIG_YR4_RT","COMP_ORIG_YR6_RT","COMP_ORIG_YR8_RT","LO_INC_COMP_ORIG_YR4_RT","LO_INC_COMP_ORIG_YR6_RT","LO_INC_COMP_ORIG_YR8_RT","MD_INC_COMP_ORIG_YR4_RT","MD_INC_COMP_ORIG_YR6_RT","MD_INC_COMP_ORIG_YR8_RT","HI_INC_COMP_ORIG_YR4_RT","HI_INC_COMP_ORIG_YR6_RT","HI_INC_COMP_ORIG_YR8_RT","MALE_COMP_ORIG_YR4_RT","MALE_COMP_ORIG_YR6_RT","MALE_COMP_ORIG_YR8_RT","FEMALE_COMP_ORIG_YR4_RT","FEMALE_COMP_ORIG_YR6_RT","FEMALE_COMP_ORIG_YR8_RT","PELL_COMP_ORIG_YR4_RT","PELL_COMP_ORIG_YR6_RT","PELL_COMP_ORIG_YR8_RT","OMAWDP8_FTFT","OMAWDP8_PELL_FTFT","OMAWDP8_FTNFT","OMAWDP8_PELL_FTNFT","OMENRAP8_FTFT","OMENRAP8_PELL_FTFT","OMENRAP8_FTNFT","OMENRAP8_PELL_FTNFT","RET_FT4","COMP_4YR_TRANS_YR4_RT","COMP_4YR_TRANS_YR6_RT","COMP_4YR_TRANS_YR8_RT","LO_INC_COMP_4YR_TRANS_YR4_RT","LO_INC_COMP_4YR_TRANS_YR6_RT","LO_INC_COMP_4YR_TRANS_YR8_RT","MD_INC_COMP_4YR_TRANS_YR4_RT","MD_INC_COMP_4YR_TRANS_YR6_RT","MD_INC_COMP_4YR_TRANS_YR8_RT","HI_INC_COMP_4YR_TRANS_YR4_RT","HI_INC_COMP_4YR_TRANS_YR6_RT","HI_INC_COMP_4YR_TRANS_YR8_RT","MALE_COMP_4YR_TRANS_YR4_RT","MALE_COMP_4YR_TRANS_YR6_RT","MALE_COMP_4YR_TRANS_YR8_RT","FEMALE_COMP_4YR_TRANS_YR4_RT","FEMALE_COMP_4YR_TRANS_YR6_RT","FEMALE_COMP_4YR_TRANS_YR8_RT","PELL_COMP_4YR_TRANS_YR4_RT","PELL_COMP_4YR_TRANS_YR6_RT","PELL_COMP_4YR_TRANS_YR8_RT","FIRSTGEN_COMP_4YR_TRANS_YR4_RT","FIRSTGEN_COMP_4YR_TRANS_YR6_RT","FIRSTGEN_COMP_4YR_TRANS_YR8_RT","year","year_num","Comparator_Type"
110714,132100,"University of California-Santa Cruz",,"CA",1,,,,9562,,,10276.0,3500.0,3500.0,9028.0,9161.5,9000.0,8638.0,,,,,,,0.5964,,,,,,,,,,,,,,,,0.4103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"National_Peer"
120254,124900,"Occidental College",,"CA",2,,,,1519,,14500.0,13435.5,,,12558.5,11625.0,11912.5,11625.0,,,,,,,0.5622,,,,,,,,,,,,,,,,0.6987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Affordability"
156408,196100,"Centre College",,"KY",2,,,,998,,,12275.0,,,11625.0,10188.5,11625.0,10768.0,,,,,,,0.491,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"National_Peer"
161004,203800,"Bowdoin College",,"ME",2,,,,1597,,13050.0,,,,12125.0,12425.0,11625.0,11437.5,,,,,,,0.5009,,,,,,,,,,,,,,,,0.8568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Affordability"
173258,234000,"Carleton College",,"MN",2,,,,1858,,13562.0,13163.0,,,11927.0,11913.5,12737.5,13265.0,,,,,,,0.5156,,,,,,,,,,,,,,,,0.8217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Affordability"
191630,273100,"Hobart William Smith Colleges",,"NY",2,,,,1829,,16494.0,15286.5,2625.0,2625.0,13017.5,12232.5,13625.0,14375.0,,,,,,,0.5265,,,,,,,,,,,,,,,,0.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"National_Peer"
198385,291800,"Davidson College",,"NC",2,,,,1623,,11525.0,11000.0,,,11125.0,9937.5,10500.0,,,,,,,,0.4911,,,,,,,,,,,,,,,,0.8539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Affordability"
209056,319700,"Lewis & Clark College",,"OR",2,,,,1762,,12870.0,13649.0,2625.0,2922.0,11000.0,11625.0,11381.0,10606.0,,,,,,,0.5874,,,,,,,,,,,,,,,,0.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Regional_Peer"
209065,319800,"Linfield University",,"OR",2,,,,2692,,17125.0,14475.5,3062.0,2625.0,11625.0,11625.0,12000.0,11687.5,,,,,,,0.6393,,,,,,,,,,,,,,,,0.5455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Regional_Peer"
209542,321000,"Oregon State University",,"OR",1,,,,11354,,13625.0,10619.0,2625.0,2625.0,8349.5,8125.0,8327.0,8409.5,,,,,,,0.4553,,,,,,,,,,,,,,,,0.2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Regional_Competitor"
209551,322300,"University of Oregon",,"OR",1,,,,13481,,12585.0,9948.5,2625.0,3500.0,7406.0,7958.0,7333.0,7500.0,,,,,,,0.519,,,,,,,,,,,,,,,,0.3559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Regional_Competitor"
209825,322400,"University of Portland",,"OR",2,,,,1955,,16000.0,14714.5,2625.0,3500.0,13758.0,11000.0,12887.0,13750.0,,,,,,,0.5509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Regional_Competitor"
209922,321700,"Reed College",,"OR",2,,,,1276,,13787.5,11750.0,2625.0,2625.0,10100.0,8187.5,9940.0,10500.0,,,,,,,0.5415,,,,,,,,,,,,,,,,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Regional_Peer"
210401,322700,"Willamette University",,"OR",2,,,,1749,,14500.0,13249.0,2625.0,5000.0,11625.0,11510.5,11160.0,9648.5,,,,,,,0.554,,,,,,,,,,,,,,,,0.6487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Willamette"
211291,323800,"Bucknell University",,"PA",2,,,,3329,,17125.0,17125.0,2625.0,4375.0,16659.5,16720.5,16682.0,16875.0,,,,,,,0.4797,,,,,,,,,,,,,,,,0.8556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Affordability"
218973,345700,"Wofford College",,"SC",2,,,,1073,,,15625.0,,,14366.5,14138.0,14500.0,14366.5,,,,,,,0.4651,,,,,,,,,,,,,,,,0.7356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"National_Peer"
221519,353400,"The University of the South",,"TN",2,,,,1257,,12494.0,11455.0,,,9550.0,10300.0,11007.0,9600.0,,,,,,,0.5235,,,,,,,,,,,,,,,,0.7217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"National_Peer"
233374,374400,"University of Richmond",,"VA",2,,,,3287,,13560.0,13560.0,2625.0,4375.0,11069.5,11020.0,11625.0,11069.5,,,,,,,0.5166,,,,,,,,,,,,,,,,0.7739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Affordability"
235316,377800,"Gonzaga University",,"WA",2,,,,2561,,17125.0,16250.0,2687.5,2687.5,14500.0,14500.0,14412.0,14599.5,,,,,,,0.5584,,,,,,,,,,,,,,,,0.4192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Regional_Competitor"
236328,379700,"University of Puget Sound",,"WA",2,,,,2734,,17125.0,16911.5,2625.0,2625.0,16109.0,14500.0,14500.0,16000.0,,,,,,,0.5955,,,,,,,,,,,,,,,,0.5761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Regional_Peer"
236595,379000,"Seattle University",,"WA",2,,,,3091,,17125.0,14641.0,3499.5,2625.0,13965.0,13115.0,13125.0,14208.0,,,,,,,0.573,,,,,,,,,,,,,,,,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Affordability"
237057,380300,"Whitman College",,"WA",2,,,,1375,,,13200.0,2625.0,3550.0,12000.0,11162.5,11122.5,13000.0,,,,,,,0.5535,,,,,,,,,,,,,,,,0.6301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997-98",1997,"Regional_Peer"
110714,132100,"University of California-Santa Cruz",3,"CA",1,6620,7833,,9921,,,10955.0,4375.0,5500.0,9490.0,9000.0,9078.0,9139.0,,,,,,,0.5861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1998-99",1998,"National_Peer"
120254,124900,"Occidental College",3,"CA",2,12139,11771,,1529,,15784.0,15134.0,3062.5,5375.0,14500.0,14500.0,14037.5,14500.0,,,,,,,0.5716,,,,,,,,,,,,,,,,0.7234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1998-99",1998,"Affordability"
156408,196100,"Centre College",3,"KY",2,8231,8526,,1049,,,14375.0,,,13211.0,11662.5,13643.5,13838.0,,,,,,,0.5014,,,,,,,,,,,,,,,,0.6439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1998-99",1998,"National_Peer"
161004,203800,"Bowdoin College",3,"ME",2,22546,15507,,1573,,12621.0,12375.0,2625.0,4375.0,11734.0,11803.5,11000.0,10550.0,,,,,,,0.5022,,,,,,,,,,,,,,,,0.8484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1998-99",1998,"Affordability"
173258,234000,"Carleton College",3,"MN",2,20566,14900,,1856,,13890.0,13619.0,4114.0,5500.0,13154.0,12724.0,12664.5,12310.0,,,,,,,0.5286,,,,,,,,,,,,,,,,0.8138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1998-99",1998,"Affordability"
191630,273100,"Hobart William Smith Colleges",3,"NY",2,12431,7685,,1777,,16391.5,16191.5,2625.0,2625.0,13421.5,14017.0,13463.0,14375.0,,,,,,,0.5318,,,,,,,,,,,,,,,,0.6188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1998-99",1998,"National_Peer"
198385,291800,"Davidson College",3,"NC",2,14675,9946,,1635,,11250.0,11260.5,,,10000.0,9125.0,10200.0,,,,,,,,0.5028,,,,,,,,,,,,,,,,0.8865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1998-99",1998,"Affordability"
209056,319700,"Lewis & Clark College",3,"OR",2,12870,8534,,1694,,12870.0,14500.0,4375.0,4049.5,10882.5,11625.0,11000.0,8720.0,,,,,,,0.588,,,,,,,,,,,,,,,,0.5595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1998-99",1998,"Regional_Peer"
